,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-01-30,3.68,0.25,0.1350438525267369,-0.09100000000000019,0.41000000000000014,104.26,0.000735808689740769,17.11,12.05202639559724,-0.004604499681802987,8.73,-3.54,30.636,19.371175992928098,-0.007747338761414091
2024-01-31,3.68,0.2450000000000001,0.1350438525267369,-0.08700000000000019,0.42200000000000015,107.28,0.0006883276439584307,17.02,9.60039066473583,0.003873636705528538,8.735,-3.5475,31.574,19.450345700191622,-0.025160966769235626
2024-02-01,3.68,0.2450000000000001,0.1372358707136228,-0.07500000000000018,0.41000000000000014,113.92,-0.018169148889307207,16.79,10.304726532041169,-0.002097928295808016,8.46,-3.555,33.695,25.354426313798317,-0.035698497799342865
2024-02-02,3.68,0.24700000000000033,0.1389168626799569,-0.04599999999999982,0.43599999999999994,106.72,-0.028653351478489242,17.79,12.377220012789705,-0.007132935390622097,8.465,-3.555,32.938,27.224164772984814,-0.009347938320158677
2024-02-05,3.67,0.22699999999999987,0.13723587071362292,-0.07500000000000018,0.363,108.68,0.009176732395012488,18.06,12.65239990599936,0.00635232729610169,8.655,-3.56,33.285,28.357588408625382,0.00642453779689689
2024-02-06,3.67,0.2290000000000001,0.1389168626799569,-0.09299999999999997,0.379,110.6,0.005831027549772161,17.59,13.198771866351077,-0.0024046590268645973,8.495,-3.569,32.287,29.116613046238836,0.004828158985992204
2024-02-07,3.67,0.2290000000000001,0.14010522361500458,-0.09200000000000008,0.3799999999999999,107.86,-0.012957068550578432,17.62,13.789408036552093,0.00011299009453513698,8.44,-3.5625,31.587,29.37262088696948,-0.012773013672273903
2024-02-08,3.67,0.2250000000000001,0.14081342639333605,-0.10099999999999998,0.3660000000000001,108.6,-0.004115604809969531,17.24,14.225295358839654,0.00041425020712515526,8.245,-3.57,31.762,29.450676402634457,-0.010557419399368717
2024-04-01,3.63,0.19999999999999973,0.10138514372639175,-0.08400000000000007,0.3380000000000001,94.2,-0.0004478215121803686,17.13,13.859688979003431,0.0014472854121052592,7.28,-3.505,38.307,24.079391788524415,0.01145944363491358
2024-04-02,3.63,0.19999999999999973,0.10138514372639175,-0.09999999999999964,0.3049999999999997,96.57,-0.0019287736638693431,17.1,12.995721829513366,0.002075150077818,7.51,-3.515,38.659,24.07495062367469,0.004146474114268273
2024-04-03,3.62,0.18999999999999995,0.10428705324096671,-0.12300000000000022,0.29300000000000015,97.88,0.016777085240233025,17.63,13.910900573416844,-0.002403668367724321,7.47,-3.513,38.279,24.407428159228225,-0.0041745464014997236
2024-04-04,3.62,0.19399999999999995,0.10428705324096671,-0.12400000000000011,0.28500000000000014,96.13,-0.01294066797932758,17.2,15.014000634814355,-0.0014086073321717407,7.41,-3.5125,38.295,24.614631277947062,-0.0009134116642257606
2024-04-05,3.58,0.15900000000000025,0.16689107699019567,-0.10499999999999998,0.25,94.31,0.010134938001458815,18.12,14.46929789693984,0.004268903819740988,7.3,-3.5025,38.983,24.680786593931263,-0.002718883617059964
2024-04-08,3.56,0.13900000000000023,0.17446761123034005,-0.11000000000000032,0.18300000000000027,99.37,-0.0012674037749473843,18.16,13.593848091757721,0.00040659421896949155,7.36,-3.5175,38.415,24.69932419922135,-0.0023760875198757248
2024-04-09,3.57,0.14900000000000002,0.18191090936875773,-0.11799999999999988,0.18299999999999983,98.73,0.0045958824719887215,18.09,13.060237704622654,0.0012562349898392888,7.33,-3.525,37.71,24.82252813997403,0.0043419205287236196
2024-07-05,3.57,0.19999999999999973,0.0776835686751407,-0.09999999999999964,0.4549999999999996,98.78,-0.013200280359936922,16.72,12.52719808994124,-7.240867455915456e-05,6.9775,-3.335,35.159,14.079666111180062,0.0027732167144995934
2024-07-08,3.57,0.20499999999999963,0.0776835686751407,-0.08999999999999986,0.44999999999999973,97.96,0.001561719358681768,16.81,11.931976307665476,0.0018103479488758012,7.03,-3.3375,35.072,15.13327020049645,0.012961189426522135
2024-07-09,3.56,0.19899999999999984,0.08304722816122853,-0.08000000000000007,0.43999999999999995,95.62,-0.0033662728850567536,16.28,12.163290537816355,3.614153023234756e-05,6.89,-3.3525,35.358,15.035019342953534,0.00671460618284514
2024-07-10,3.55,0.18699999999999983,0.08732877984647285,-0.07799999999999985,0.43299999999999983,92.97,-0.0002127377606035985,16.08,11.359368157335435,0.0003614022406939199,6.85,-3.3575,35.114,14.768968755299664,-0.002633277817586821
2024-07-11,3.55,0.16599999999999993,0.08732877984647285,-0.06400000000000006,0.3919999999999999,89.67,-0.008145077214355645,16.12,11.540903796523828,-0.008417630057803493,6.65,-3.37,35.24,15.359230839139979,-0.007218200284844212
2024-07-12,3.55,0.16900000000000004,0.08732877984647285,-0.07399999999999984,0.45699999999999985,86.79,0.011880263544710945,16.44,12.896850243109743,0.002186031260247079,6.71,-3.32,35.255,15.072949281125462,-0.011375902926869186
2024-07-15,3.54,0.16199999999999992,0.09068162931231903,-0.10299999999999976,0.46799999999999997,94.5,-0.0013720686034301988,16.47,12.621480511607796,0.005962118733413346,6.9,-3.2975,35.347,15.283673207660728,0.008920269860762997
